"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /data/verify_id_name",6,67,67,79,79,81,81,81,81,81
"POST /data/verify_id_name_bankcard_phone",4,59,59,83,83,83,83,83,83,83
"POST /ocr/bankcard",1,270,270,270,270,270,270,270,270,270
"POST /ocr/idcard",5,2000,2300,2300,2400,2400,2400,2400,2400,2400
"POST /ocr/parse_bankcard_ocr_result",3,1300,1300,2100,2100,2100,2100,2100,2100,2100
"POST /ocr/parse_idcard_ocr_result",5,1400,1400,1400,2000,2000,2000,2000,2000,2000
"Total",24,680,1300,1600,2000,2100,2300,2400,2400,2400
